place_name,district,category,description,keywords
"Chidambaram Temple","Cuddalore","Temple","Special temple dedicated to Lord Nataraja, representing the cosmos and classical dance.","temple, spiritual, architecture, historic, dance"
"Kodaikanal Lake","Dindigul","Hill Station","Man-made star-shaped lake perfect for boating and cycling along its perimeter.","hill station, lake, boating, nature, relax"
"Thiruvannamalai","Tiruvannamalai","Temple","Sacred town at the foot of Arunachala Hill, famous for its grand Shiva temple.","temple, spiritual, hill, historic, meditation"
"Chettinad Mansions","Sivaganga","Historic","Heritage region known for architectural grand mansions, unique tiles, and spicy cuisine.","historic, architecture, culture, food, mansion"
"Dolphin's Nose","Nilgiris","Hill Station","Spectacular viewpoint in Coonoor resembling a dolphin's nose, offering valley views.","hill station, views, nature, mountains, trekking"
"Catherine Falls","Nilgiris","Waterfall","Double-cascaded waterfall near Kotagiri, named after the wife of a coffee planter.","waterfall, nature, mountains, view, tea"
"Pambar Falls","Dindigul","Waterfall","Also known as Grand Cascade, located in Kodaikanal amidst lush greenery.","waterfall, nature, cool, relax"
"Silver Cascade Falls","Dindigul","Waterfall","First attraction in Kodaikanal, a silvery waterfall created by lake overflow.","waterfall, nature, road, cool"
"Kalikesam","Kanyakumari","Wildlife","Eco-tourism spot with a river, forest, and a small temple deep inside.","wildlife, nature, forest, river, quiet"
"Thirparappu Falls","Kanyakumari","Waterfall","Man-made waterfall on Kodayar river with a swimming pool and temple nearby.","waterfall, river, nature, family, fun"
"Vattakottai Fort","Kanyakumari","Historic","Seaside fort made of granite, offering views of the sea and the Western Ghats.","historic, fort, beach, sea, views"
"Tiger Cave","Mahabalipuram","Historic","Rock-cut Hindu temple complex carved in the 8th century near the sea.","historic, temple, architecture, beach, park"
"Vedanthangal Bird Sanctuary","Chengalpattu","Wildlife","One of the oldest water bird sanctuaries in India, home to thousands of birds.","wildlife, nature, birds, lake, winter"
"Guindy National Park","Chennai","Wildlife","Small national park within the city limits, home to blackbucks and spotted deer.","wildlife, nature, city, animals, park"
"Arignar Anna Zoological Park","Chengalpattu","Wildlife","One of the largest zoos in South Asia, popular for its lion and tiger safaris.","wildlife, animals, family, nature, safari"
"Kanyakumari Temple","Kanyakumari","Temple","Temple at the southern tip dedicated to Goddess Kanya Kumari, where three seas meet.","temple, sea, spiritual, sunrise, sunset"
"Madurai Thirumalai Nayakkar Palace","Madurai","Historic","17th-century palace complex with grand pillars and sound-light shows.","historic, palace, architecture, madurai, royal"
"Padmanabhapuram Palace","Kanyakumari","Historic","Magnificent wooden palace of Kerala architecture, located in Tamil Nadu.","historic, palace, wood, architecture, royal"
"Ganesh Temple (Pillayarpatti)","Sivaganga","Temple","Famous rock-cut temple dedicated to Lord Ganesha with ancient inscriptions.","temple, spiritual, historic, cave"
"Tiruchendur Murugan Temple","Thoothukudi","Temple","Sea-facing temple dedicated to Lord Murugan, one of the Arupadai Veedu.","temple, beach, sea, spiritual, god"
"Palani Murugan Temple","Dindigul","Temple","Hilltop temple reached by winch or steps, one of the most visited in the state.","temple, mountains, hill, spiritual, pilgrimage"
"Thiruttani Murugan Temple","Thiruvallur","Temple","Ancient temple on a hill dedicated to Lord Murugan, with 365 steps.","temple, hill, spiritual, historic"
"Swamimalai Murugan Temple","Thanjavur","Temple","Hill temple where Lord Murugan taught the meaning of OM to Lord Shiva.","temple, spiritual, historic, god"
"Pazhamudhircholai","Madurai","Temple","Temple nestled in Alagar hills, surrounded by forests and natural springs.","temple, forest, mountains, spiritual, nature"
"Siruvani Waterfalls","Coimbatore","Waterfall","Scenic waterfall known for its tasty water, located in the Western Ghats.","waterfall, nature, forest, mountains, water"
"Monkey Falls","Coimbatore","Waterfall","Natural waterfall on the way to Valparai, popular for its easy access.","waterfall, nature, forest, road"
"Agaya Gangai Waterfalls","Namakkal","Waterfall","Stunning 300-ft waterfall in Kolli Hills, reached by climbing down 1000 steps.","waterfall, adventure, mountains, nature, trekking"
"Kumbakkarai Falls","Dindigul","Waterfall","Natural pool-like waterfall near Periyakulam, popular for bathing.","waterfall, nature, forest, bath"
"Suruli Falls","Theni","Waterfall","Two-stage waterfall amidst dense forest, known for its medicinal properties.","waterfall, forest, nature, bath"
"Megamalai","Theni","Hill Station","High wavy mountains with tea estates, dams, and waterfalls, off the beaten path.","hill station, nature, tea, mountains, quiet, wildlife"
"Javadi Hills","Tirupannamalai","Hill Station","Sandalwood-rich mountain range with scenic views and trekking trails.","hill station, nature, trekking, forest, views"
"Manimuthar Falls & Dam","Tirunelveli","Waterfall","Scenic waterfall and dam located in the foothills of Podhigai hills.","waterfall, nature, river, dam, forest"
"Papanasam","Tirunelveli","Waterfall","Holy place with waterfalls where people bathe to wash away sins.","waterfall, spiritual, nature, river"
"Mundanthurai Tiger Reserve","Tirunelveli","Wildlife","Second largest tiger reserve in Tamil Nadu, rich in biodiversity.","wildlife, nature, tiger, forest, trekking"
"Kalakkad Wildlife Sanctuary","Tirunelveli","Wildlife","Protects endemic species like Lion-tailed Macaque and various birds.","wildlife, nature, forest, rare, animals"
"Kudaivarai Temple","Sittannavasal","Historic","Cave paintings and rock-cut Jaina architecture from the 7th century.","historic, architecture, art, cave, ancient"
"Muthupet Mangroves","Thiruvarur","Wildlife","Vast mangrove forest with lagoons and migratory birds at Agniyar river mouth.","wildlife, nature, forest, boating"
"Kodikkarai Beach","Nagapattinam","Beach","Secluded beach with a lighthouse and proximity to wildlife sanctuary.","beach, sea, quiet, lighthouse"
"Kurusadai Island","Ramanathapuram","Wildlife","Marine biosphere reserve with coral reefs and unique sea creatures.","wildlife, ocean, island, nature, snorkeling"
"Devipattinam","Ramanathapuram","Temple","Navagraha temple situated inside the sea, a unique spiritual destination.","temple, sea, spiritual, unique"
"Auroville","Villupuram","Historic","Experimental township and spiritual center with the golden Matrimandir.","historic, spiritual, architecture, quiet, peace"
"Sri Aurobindo Ashram","Puducherry","Historic","Spiritual community founded by Sri Aurobindo, adjacent to Tamil Nadu.","historic, spiritual, peace, meditation"
"Paradise Beach","Puducherry","Beach","Beautiful golden sand beach accessible by ferry from Chunnambar backwaters.","beach, sea, ferry, relax, fun"
"Arikamedu","Puducherry","Historic","Archaeological site of an ancient Roman trade center near Pondicherry.","historic, archaeology, ancient, river"
